#obswave  flux    err
4171.5745 11.3700 0.970709
4172.5351 11.5325 0.982197
4173.4960 10.9145 0.951238
4174.4571 9.27842 0.926037
4175.4184 11.7058 0.948458
4176.3799 12.1454 0.945093
4177.3417 10.5398 0.920220
4178.3037 9.05597 0.893146
4179.2659 8.39158 0.922049
4180.2283 7.67535 0.934747
4181.1909 8.22496 0.939657
4182.1538 9.03325 0.917454
4183.1169 8.17941 0.900879
4184.0802 8.94083 0.906801
4185.0437 10.6851 0.920598
4186.0075 8.17746 0.893552
4186.9715 9.73348 0.903265
4187.9357 9.44872 0.902734
4188.9001 9.73623 0.908292
4189.8647 10.0952 0.918038
4190.8296 9.71215 0.939425
4191.7947 9.91244 0.933695
4192.7600 8.24323 0.897636
4193.7255 9.15379 0.895707
4194.6912 8.35486 0.870009
4195.6572 7.01339 0.846862
4196.6234 7.90181 0.844304
4197.5898 9.18906 0.872722
4198.5565 7.33079 0.883149
4199.5233 7.37647 0.881230
4200.4904 6.13080 0.868833
4201.4577 6.64555 0.858488
4202.4253 8.12678 0.858146
4203.3930 5.18052 0.933447
4204.3610 12.0291 1.00276
4205.3292 13.3301 0.932294
4206.2976 11.7694 0.921129
4207.2663 9.32901 0.880833
4208.2352 7.15476 0.841555
4209.2042 7.55689 0.848226
4210.1736 6.33475 0.831890
4211.1431 6.81326 0.823507
4212.1129 7.02343 0.831324
4213.0829 8.57003 0.862364
4214.0531 10.4303 0.873474
4215.0235 8.02765 0.838261
4215.9942 8.86100 0.850357
4216.9650 10.3287 0.871029
4217.9361 10.0163 0.863894
4218.9075 8.85425 0.864659
4219.8790 8.55019 0.857894
4220.8508 9.11845 0.882224
4221.8228 9.26452 0.906450
4222.7950 9.25904 0.890472
4223.7675 10.8558 0.906253
4224.7401 10.1251 0.894900
4225.7130 7.24237 0.872559
4226.6861 8.50189 0.885198
4227.6595 7.21228 0.867642
4228.6331 6.94558 0.872961
4229.6068 7.70665 0.887217
4230.5809 8.49478 0.883121
4231.5551 7.83049 0.847503
4232.5296 6.19766 0.836535
4233.5042 10.6658 0.876001
4234.4792 10.0372 0.879306
4235.4543 9.26888 0.885268
4236.4297 9.27885 0.891859
4237.4052 8.82730 0.901406
4238.3811 9.24342 0.914262
4239.3571 8.53958 0.903497
4240.3334 8.99761 0.893623
4241.3098 10.9445 0.899493
4242.2865 11.3841 0.899082
4243.2635 9.83932 0.877463
4244.2406 10.0497 0.868863
4245.2180 10.5419 0.900576
4246.1956 9.80468 0.919290
4247.1735 10.0336 0.952385
4248.1515 10.0440 0.927466
4249.1298 9.21067 0.877984
4250.1083 9.41562 0.955022
4251.0871 7.85264 0.976160
4252.0660 9.26276 1.05601
4253.0452 10.0820 0.910510
4254.0246 9.68399 0.914675
4255.0043 9.28716 0.888547
4255.9841 8.99638 0.878933
4256.9642 9.95792 0.881097
4257.9445 9.84092 0.883135
4258.9251 8.21279 0.869444
4259.9058 8.02384 0.856577
4260.8868 10.5105 0.867156
4261.8681 11.7737 0.880758
4262.8495 8.66086 0.851183
4263.8312 12.7367 0.895129
4264.8131 11.7247 0.872174
4265.7952 8.23974 0.854342
4266.7775 8.67734 0.873531
4267.7601 9.27072 0.891540
4268.7429 11.7118 0.909990
4269.7259 13.3103 0.919045
4270.7092 11.7520 0.891650
4271.6927 9.88615 0.878695
4272.6764 9.54492 0.880799
4273.6603 9.02408 0.865251
4274.6445 11.6667 0.881507
4275.6289 9.86817 0.880045
4276.6135 9.15392 0.885997
4277.5983 9.66258 0.938023
4278.5834 9.48364 0.924694
4279.5687 10.2252 0.903862
4280.5542 10.4510 0.868037
4281.5399 10.6821 0.855849
4282.5259 10.6499 0.857739
4283.5121 9.86935 0.841606
4284.4985 9.50680 0.841263
4285.4852 11.1368 0.860790
4286.4721 10.4245 0.855570
4287.4592 8.51469 0.825306
4288.4465 9.44506 0.835524
4289.4341 10.1483 0.831252
4290.4219 9.01271 0.823999
4291.4099 10.2043 0.850336
4292.3982 9.61048 0.857348
4293.3866 10.1787 0.863463
4294.3753 10.2566 0.860265
4295.3643 8.97985 0.845323
4296.3534 7.55852 0.828602
4297.3428 7.96917 0.826404
4298.3324 10.1868 0.842071
4299.3223 11.2158 0.860071
4300.3123 9.82962 0.831695
4301.3026 8.84916 0.834322
4302.2932 9.73302 0.825410
4303.2839 9.97774 0.834717
4304.2749 10.0285 0.841380
4305.2661 7.79962 0.818998
4306.2575 9.48581 0.836757
4307.2492 10.3712 0.831551
4308.2411 7.55757 0.808907
4309.2332 8.80222 0.824932
4310.2256 10.9838 0.849293
4311.2182 11.4618 0.862726
4312.2110 10.6675 0.847878
4313.2040 11.0075 0.853393
4314.1973 11.9933 0.877703
4315.1908 10.3519 0.866056
4316.1845 10.4822 0.904002
4317.1784 9.71361 0.927741
4318.1726 9.21739 0.919601
4319.1670 9.44819 0.890641
4320.1617 10.0081 0.878349
4321.1565 10.4212 0.868198
4322.1516 9.26767 0.844545
4323.1470 9.81038 0.838211
4324.1425 9.44952 0.832539
4325.1383 10.1498 0.850607
4326.1343 11.6913 0.875423
4327.1306 9.27690 0.852081
4328.1270 10.4202 0.862755
4329.1237 10.7815 0.868410
4330.1207 10.3502 0.855880
4331.1178 9.81414 0.861065
4332.1152 9.74326 0.862829
4333.1129 10.3843 0.864792
4334.1107 9.63388 0.848412
4335.1088 9.74517 0.829737
4336.1071 10.2547 0.850585
4337.1056 9.81865 0.843580
4338.1044 9.44949 0.845323
4339.1034 10.9788 0.833420
4340.1026 8.43890 0.800941
4341.1021 8.46748 0.805943
4342.1018 9.13544 0.823362
4343.1017 9.66618 0.845127
4344.1019 10.5311 0.845616
4345.1022 10.7730 0.853937
4346.1029 9.87545 0.853959
4347.1037 9.32888 0.852558
4348.1048 9.04190 0.848222
4349.1061 9.36842 0.872769
4350.1076 10.1088 0.885851
4351.1094 10.1854 0.865760
4352.1114 10.7796 0.848635
4353.1136 9.91506 0.845619
4354.1160 10.9059 0.862072
4355.1187 11.5392 0.865323
4356.1217 10.4281 0.885677
4357.1248 11.3624 0.987860
4358.1282 10.7334 1.13778
4359.1318 10.1189 1.23562
4360.1356 10.0540 1.16416
4361.1397 9.52724 1.00107
4362.1440 8.64641 0.887892
4363.1486 9.58089 0.864456
4364.1533 11.7593 0.860551
4365.1583 10.8878 0.842744
4366.1636 8.26956 0.822740
4367.1690 8.07908 0.808923
4368.1747 9.81446 0.829748
4369.1806 8.39735 0.823800
4370.1868 9.99726 0.845088
4371.1932 9.19740 0.824604
4372.1998 9.60075 0.834005
4373.2067 10.8948 0.845550
4374.2137 11.1081 0.867531
4375.2211 11.0164 0.866739
4376.2286 9.34919 0.853766
4377.2364 9.72039 0.865936
4378.2444 9.51943 0.881706
4379.2526 8.71482 0.863218
4380.2611 8.40657 0.845302
4381.2698 7.85638 0.955140
4382.2788 7.92636 0.974893
4383.2879 9.98907 0.823778
4384.2973 9.72127 0.802911
4385.3070 10.0494 0.802655
4386.3168 11.9585 0.843571
4387.3270 9.39288 0.835454
4388.3373 9.24173 0.837970
4389.3479 9.67784 0.833061
4390.3587 9.71698 0.817751
4391.3697 9.60376 0.815565
4392.3810 9.76321 0.832003
4393.3925 9.72363 0.830922
4394.4042 8.08670 0.805763
4395.4162 10.0376 0.808088
4396.4284 9.94529 0.819868
4397.4408 8.93743 0.819895
4398.4534 9.63253 0.823465
4399.4663 9.53231 0.828904
4400.4795 11.2890 0.834932
4401.4928 9.52974 0.794617
4402.5064 8.18935 0.787277
4403.5203 8.57518 0.796918
4404.5343 9.46380 0.811580
4405.5486 10.2672 0.822084
4406.5632 9.26273 0.817033
4407.5779 9.12994 0.823538
4408.5929 8.44130 0.809782
4409.6082 8.03597 0.791825
4410.6236 9.12956 0.822818
4411.6393 10.1984 0.851920
4412.6553 9.93407 0.860909
4413.6714 9.23194 0.852549
4414.6878 8.39302 0.816665
4415.7045 7.72683 0.808061
4416.7213 7.32009 0.781672
4417.7384 7.30974 0.779665
4418.7558 9.32993 0.797252
4419.7734 9.54234 0.803294
4420.7912 9.26886 0.811166
4421.8092 8.59072 0.805666
4422.8275 7.78635 0.806798
4423.8460 8.37047 0.816249
4424.8647 6.79281 0.804617
4425.8837 8.55719 0.792300
4426.9029 9.39304 0.802727
4427.9224 9.39408 0.807274
4428.9421 10.0822 0.818762
4429.9620 9.69005 0.811711
4430.9821 10.8086 0.809376
4432.0025 8.39758 0.791537
4433.0232 8.84628 0.817191
4434.0440 9.51595 0.842161
4435.0651 7.28372 0.812809
4436.0864 8.08230 0.786364
4437.1080 10.0189 0.784824
4438.1298 9.62936 0.774759
4439.1518 9.41712 0.789467
4440.1741 8.52253 0.859435
4441.1966 6.51904 0.951945
4442.2194 7.05995 0.943741
4443.2423 8.33281 0.795902
4444.2655 8.25828 0.767876
4445.2890 8.30536 0.745520
4446.3127 6.41417 0.847062
4447.3366 4.35725 0.814482
4448.3607 10.2554 0.791540
4449.3851 17.7261 0.915097
4450.4098 22.5063 0.988820
4451.4346 19.0690 0.937396
4452.4597 11.4658 0.802355
4453.4851 6.96928 0.743029
4454.5106 6.82436 0.724872
4455.5364 7.42013 0.727711
4456.5625 7.24986 0.736071
4457.5888 6.73586 0.731971
4458.6153 7.49171 0.739254
4459.6420 9.29085 0.754514
4460.6690 9.12251 0.757628
4461.6962 7.54305 0.732270
4462.7237 7.89128 0.725556
4463.7514 9.55052 0.758523
4464.7793 8.50943 0.733812
4465.8075 5.76124 0.721429
4466.8359 8.47802 0.755411
4467.8646 10.0741 0.768388
4468.8934 9.62687 0.766958
4469.9226 8.48430 0.747585
4470.9519 8.93349 0.747322
4471.9815 10.0043 0.769992
4473.0113 8.23402 0.768953
4474.0414 10.1630 0.795693
4475.0717 8.41657 0.790229
4476.1023 8.03667 0.770804
4477.1330 9.03531 0.759299
4478.1641 8.62209 0.745841
4479.1953 8.29295 0.744544
4480.2268 8.67980 0.760242
4481.2585 9.47360 0.769709
4482.2905 9.57606 0.765234
4483.3227 9.69597 0.745511
4484.3551 9.95395 0.744893
4485.3878 8.87616 0.740114
4486.4207 9.41788 0.773159
4487.4539 9.77300 0.793079
4488.4873 9.17065 0.797544
4489.5209 8.76364 0.784477
4490.5548 9.48781 0.766249
4491.5889 10.0087 0.757504
4492.6232 8.27060 0.753549
4493.6578 9.14673 0.754832
4494.6927 9.71307 0.750527
4495.7277 8.56903 0.731304
4496.7630 7.78678 0.726471
4497.7985 9.33019 0.743286
4498.8343 9.49234 0.774436
4499.8703 9.57268 0.771855
4500.9066 8.64976 0.784083
4501.9431 6.96720 0.722102
4502.9798 6.90114 0.714182
4504.0168 9.36628 0.724575
4505.0540 6.85953 0.722928
4506.0914 9.37591 0.758890
4507.1291 10.4780 0.773599
4508.1670 9.33865 0.762123
4509.2052 9.36402 0.752806
4510.2436 9.61938 0.754475
4511.2823 9.34534 0.752094
4512.3211 9.18970 0.739919
4513.3603 8.68529 0.762307
4514.3996 8.47541 0.753628
4515.4392 9.02520 0.764918
4516.4790 9.25036 0.744630
4517.5191 9.16523 0.728763
4518.5594 9.24657 0.742388
4519.6000 8.00280 0.725106
4520.6408 8.69377 0.733385
4521.6818 10.8863 0.750898
4522.7231 7.61175 0.736252
4523.7646 8.93381 0.738039
4524.8064 9.25764 0.736642
4525.8484 9.55340 0.732342
4526.8906 9.81089 0.749124
4527.9331 9.27185 0.757380
4528.9758 9.21183 0.773272
4530.0188 9.54216 0.774582
4531.0619 9.64510 0.779857
4532.1054 8.16117 0.755994
4533.1491 7.34873 0.756186
4534.1930 8.75755 0.771930
4535.2371 9.50697 0.765449
4536.2815 9.61714 0.748615
4537.3262 9.33670 0.751886
4538.3710 10.4122 0.769010
4539.4162 10.1589 0.758530
4540.4615 8.08712 0.752128
4541.5071 9.20728 0.751994
4542.5530 7.47729 0.724866
4543.5990 7.98166 0.738057
4544.6454 8.84427 0.767525
4545.6919 9.79987 0.789167
4546.7387 10.8001 0.815575
4547.7858 9.66014 0.808077
4548.8331 10.0914 0.792034
4549.8806 9.35694 0.752222
4550.9284 9.29892 0.762114
4551.9764 10.3739 0.772804
4553.0246 10.5626 0.785049
4554.0731 8.70025 0.774982
4555.1219 9.48688 0.774403
4556.1708 10.5726 0.777736
4557.2201 10.7758 0.765214
4558.2695 10.1049 0.751829
4559.3192 9.22806 0.750532
4560.3692 9.25737 0.765138
4561.4193 10.7034 0.795452
4562.4698 9.85995 0.805266
4563.5204 9.11254 0.774691
4564.5713 9.28647 0.762970
4565.6225 9.75349 0.747661
4566.6739 10.4605 0.755851
4567.7255 9.25067 0.749121
4568.7774 10.0923 0.743387
4569.8295 9.99173 0.756383
4570.8819 9.75742 0.747604
4571.9345 10.6795 0.758227
4572.9873 9.56597 0.747035
4574.0404 8.30646 0.718757
4575.0938 9.98627 0.739828
4576.1473 9.59676 0.750464
4577.2012 8.35070 0.740124
4578.2552 9.44969 0.728129
4579.3095 9.93374 0.726542
4580.3641 7.67259 0.712254
4581.4189 8.36010 0.713749
4582.4739 10.1191 0.750061
4583.5292 10.8280 0.764894
4584.5847 10.9318 0.759871
4585.6405 11.2102 0.748395
4586.6965 8.07038 0.714886
4587.7527 10.0421 0.737248
4588.8092 9.77716 0.712227
4589.8659 8.40102 0.719547
4590.9229 10.1889 0.737968
4591.9801 10.5439 0.760049
4593.0376 8.98646 0.737938
4594.0953 9.62439 0.756478
4595.1533 9.44039 0.748029
4596.2114 8.26487 0.707246
4597.2699 8.70337 0.704914
4598.3286 10.8613 0.728701
4599.3875 10.1240 0.727258
4600.4467 9.06944 0.704904
4601.5061 8.78226 0.703941
4602.5657 9.29302 0.721391
4603.6256 9.96247 0.753051
4604.6858 10.0258 0.756920
4605.7462 10.7148 0.757526
4606.8068 9.61872 0.714941
4607.8677 8.84187 0.711963
4608.9288 8.88350 0.715728
4609.9902 9.10198 0.732602
4611.0518 9.88346 0.728092
4612.1136 10.0360 0.713064
4613.1757 11.2026 0.724299
4614.2381 10.0728 0.732107
4615.3007 8.67725 0.723294
4616.3635 9.63493 0.741331
4617.4266 9.79845 0.737761
4618.4899 10.1095 0.741592
4619.5535 10.1604 0.736412
4620.6173 9.39113 0.706628
4621.6814 8.28197 0.695102
4622.7457 8.18751 0.710508
4623.8102 9.79845 0.728808
4624.8750 10.3370 0.740944
4625.9400 9.61916 0.733764
4627.0053 9.39635 0.723548
4628.0709 9.12434 0.716534
4629.1366 8.52797 0.704058
4630.2027 9.65978 0.720690
4631.2689 9.76733 0.740150
4632.3354 9.37306 0.745899
4633.4022 10.2442 0.762127
4634.4692 11.2950 0.745878
4635.5364 10.7309 0.726040
4636.6039 9.33939 0.707514
4637.6717 8.59872 0.698468
4638.7397 9.67235 0.711043
4639.8079 10.1543 0.707400
4640.8764 9.42413 0.708940
4641.9451 8.74051 0.702508
4643.0141 8.68398 0.703267
4644.0833 7.76151 0.701300
4645.1528 8.23543 0.697796
4646.2225 9.75119 0.710624
4647.2924 9.75385 0.696306
4648.3626 7.96360 0.690938
4649.4331 8.31654 0.696977
4650.5038 9.56074 0.736914
4651.5747 9.08338 0.727087
4652.6459 9.32398 0.745584
4653.7173 10.6093 0.747024
4654.7890 10.8718 0.766354
4655.8609 9.20549 0.732274
4656.9331 8.30811 0.710653
4658.0055 8.98824 0.719363
4659.0782 8.95814 0.712704
4660.1511 8.80818 0.719127
4661.2243 9.57020 0.742822
4662.2977 9.35894 0.748167
4663.3713 8.92738 0.740258
4664.4453 7.08097 0.723217
4665.5194 7.83517 0.724037
4666.5938 9.10314 0.733129
4667.6684 8.43013 0.723389
4668.7433 9.62854 0.721444
4669.8185 8.13345 0.709800
4670.8939 7.77218 0.711206
4671.9695 9.49344 0.737725
4673.0454 10.4054 0.729908
4674.1215 9.15132 0.719654
4675.1979 8.79257 0.714253
4676.2745 7.39173 0.702570
4677.3514 9.88982 0.734407
4678.4285 10.7018 0.740146
4679.5059 9.26835 0.713585
4680.5835 8.99144 0.706036
4681.6614 9.94537 0.726486
4682.7395 11.7712 0.739692
4683.8179 10.7603 0.734958
4684.8965 10.7502 0.726132
4685.9754 11.3081 0.723832
4687.0545 9.86438 0.711343
4688.1338 8.45778 0.703763
4689.2134 9.39222 0.715365
4690.2933 8.83214 0.724573
4691.3734 8.79444 0.725788
4692.4537 9.29930 0.727058
4693.5343 9.12256 0.720582
4694.6152 9.54384 0.723603
4695.6963 10.6754 0.734492
4696.7776 10.1527 0.725421
4697.8592 9.80386 0.710044
